Original_Label,Encoded_Label
QAT,87
POL,83
USA,109
CHL,20
PRT,85
NLD,74
MAR,61
UKR,107
BOL,15
PRY,86
PHL,82
BGR,13
GRC,41
ARE,2
JOR,52
CAN,18
ZWE,113
URY,108
BLR,14
TUN,104
LBR,59
NZL,77
BRA,16
IRQ,49
HND,43
BDI,8
KWT,57
DNK,27
UZB,110
MMR,65
SLV,95
KAZ,54
SWE,98
OMN,78
BEN,10
AUT,6
MLI,64
MDG,62
DZA,29
CHE,19
ZAF,111
BGD,12
MYS,70
ERI,31
ISR,50
BEL,9
THA,101
KHM,56
SLE,94
LBN,58
KEN,55
SAU,90
ECU,30
AZE,7
NPL,76
AGO,1
CMR,22
ROU,88
GAB,36
ESP,32
RWA,89
DOM,28
NER,71
AFG,0
TCD,99
MOZ,67
PER,81
SRB,97
GEO,38
GHA,39
AUS,5
COL,23
NGA,72
ARG,3
SDN,91
CAF,17
NIC,73
GIN,40
MWI,69
BFA,11
FRA,35
MNG,66
CRI,24
GTM,42
CUB,25
HTI,44
LBY,60
HUN,45
TZA,105
DEU,26
SOM,96
SEN,92
PAN,80
MRT,68
FIN,34
IDN,46
JPN,53
PAK,79
IRL,48
PRI,84
