Rank,Name,Year,Rating,Viewers,Duration
1,The Shawshank Redemption,1994,9.3,3M,2h 22m
2,The Godfather,1972,9.2,2.1M,2h 55m
3,The Dark Knight,2008,9.0,2.9M,2h 32m
4,The Godfather Part II,1974,9.0,1.4M,3h 22m
5,12 Angry Men,1957,9.0,894K,1h 36m
6,The Lord of the Rings: The Return of the King,2003,9.0,2M,3h 21m
7,Schindler's List,1993,9.0,1.5M,3h 15m
8,Pulp Fiction,1994,8.9,2.3M,2h 34m
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2.1M,2h 58m
10,"The Good, the Bad and the Ugly",1966,8.8,831K,2h 28m
11,Forrest Gump,1994,8.8,2.3M,2h 22m
12,The Lord of the Rings: The Two Towers,2002,8.8,1.8M,2h 59m
13,Fight Club,1999,8.8,2.4M,2h 19m
14,Inception,2010,8.8,2.6M,2h 28m
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1.4M,2h 4m
16,The Matrix,1999,8.7,2.1M,2h 16m
17,GoodFellas,1990,8.7,1.3M,2h 25m
18,One Flew Over the Cuckoo's Nest,1975,8.7,1.1M,2h 13m
19,Interstellar,2014,8.7,2.2M,2h 49m
20,Seven,1995,8.6,1.9M,2h 7m
21,It's a Wonderful Life,1946,8.6,510K,2h 10m
22,Seven Samurai,1954,8.6,376K,3h 27m
23,The Silence of the Lambs,1991,8.6,1.6M,1h 58m
24,Saving Private Ryan,1998,8.6,1.5M,2h 49m
25,City of God,2002,8.6,819K,2h 10m
26,The Green Mile,1999,8.6,1.4M,3h 9m
27,Life Is Beautiful,1997,8.6,760K,1h 56m
28,Terminator 2: Judgment Day,1991,8.6,1.2M,2h 17m
29,Star Wars: Episode IV - A New Hope,1977,8.6,1.5M,2h 1m
30,Back to the Future,1985,8.5,1.3M,1h 56m
31,Spirited Away,2001,8.6,880K,2h 4m
32,The Pianist,2002,8.5,940K,2h 30m
33,Parasite,2019,8.5,1M,2h 12m
34,Psycho,1960,8.5,737K,1h 49m
35,Gladiator,2000,8.5,1.7M,2h 35m
36,The Lion King,1994,8.5,1.2M,1h 28m
37,The Departed,2006,8.5,1.5M,2h 31m
38,Spider-Man: Across the Spider-Verse,2023,8.6,416K,2h 20m
39,Grave of the Fireflies,1988,8.5,329K,1h 28m
40,Whiplash,2014,8.5,1M,1h 46m
41,American History X,1998,8.5,1.2M,1h 59m
42,Leon,1994,8.5,1.3M,1h 50m
43,The Prestige,2006,8.5,1.5M,2h 10m
44,Harakiri,1962,8.6,74K,2h 13m
45,Casablanca,1942,8.5,619K,1h 42m
46,The Usual Suspects,1995,8.5,1.2M,1h 46m
47,Untouchable,2011,8.5,953K,1h 52m
48,Dune: Part Two,2024,8.5,545K,2h 46m
49,Cinema Paradiso,1988,8.5,291K,2h 54m
50,Modern Times,1936,8.5,266K,1h 27m
51,Alien,1979,8.5,991K,1h 57m
52,Rear Window,1954,8.5,535K,1h 52m
53,Once Upon a Time in the West,1968,8.5,357K,2h 46m
54,Django Unchained,2012,8.5,1.7M,2h 45m
55,City Lights,1931,8.5,201K,1h 27m
56,Apocalypse Now,1979,8.4,726K,2h 27m
57,Memento,2000,8.4,1.4M,1h 53m
58,WALL·E,2008,8.4,1.2M,1h 38m
59,Raiders of the Lost Ark,1981,8.4,1.1M,1h 55m
60,The Lives of Others,2006,8.4,419K,2h 17m
61,12th Fail,2023,8.8,135K,2h 27m
62,Sunset Blvd,1950,8.4,243K,1h 50m
63,Avengers: Infinity War,2018,8.4,1.2M,2h 29m
64,Paths of Glory,1957,8.4,220K,1h 28m
65,Spider-Man: Into the Spider-Verse,2018,8.4,701K,1h 57m
66,Witness for the Prosecution,1957,8.4,143K,1h 56m
67,The Shining,1980,8.4,1.1M,2h 26m
68,The Great Dictator,1940,8.4,243K,2h 5m
69,Aliens,1986,8.4,792K,2h 17m
70,Inglourious Basterds,2009,8.4,1.6M,2h 33m
71,The Dark Knight Rises,2012,8.4,1.9M,2h 44m
72,Coco,2017,8.4,622K,1h 45m
73,Amadeus,1984,8.4,439K,2h 40m
74,Toy Story,1995,8.3,1.1M,1h 21m
75,Dr,1964,8.3,529K,1h 35m
76,Oldboy,2003,8.3,657K,2h
77,American Beauty,1999,8.3,1.2M,2h 2m
78,Avengers: Endgame,2019,8.4,1.3M,3h 1m
79,Das Boot,1981,8.4,270K,2h 29m
80,Good Will Hunting,1997,8.3,1.1M,2h 6m
81,Braveheart,1995,8.3,1.1M,2h 58m
82,Princess Mononoke,1997,8.3,447K,2h 13m
83,Your Name,2016,8.4,339K,1h 46m
84,Joker,2019,8.4,1.6M,2h 2m
85,High and Low,1963,8.4,56K,2h 23m
86,3 Idiots,2009,8.4,447K,2h 50m
87,Once Upon a Time in America,1984,8.3,386K,3h 49m
88,Singin' in the Rain,1952,8.3,267K,1h 43m
89,Capernaum,2018,8.4,111K,2h 6m
90,Come and See,1985,8.3,104K,2h 22m
91,Requiem for a Dream,2000,8.3,920K,1h 42m
92,Toy Story 3,2010,8.3,912K,1h 43m
93,Star Wars: Episode VI - Return of the Jedi,1983,8.3,1.1M,2h 11m
94,The Hunt,2012,8.3,376K,1h 55m
95,Eternal Sunshine of the Spotless Mind,2004,8.3,1.1M,1h 48m
96,Ikiru,1952,8.3,91K,2h 23m
97,2001: A Space Odyssey,1968,8.3,736K,2h 29m
98,Reservoir Dogs,1992,8.3,1.1M,1h 39m
99,Lawrence of Arabia,1962,8.3,322K,3h 47m
100,The Apartment,1960,8.3,202K,2h 5m
101,Incendies,2010,8.3,214K,2h 11m
102,Scarface,1983,8.3,941K,2h 50m
103,North by Northwest,1959,8.3,353K,2h 16m
104,Double Indemnity,1944,8.3,171K,1h 47m
105,Citizen Kane,1941,8.3,474K,1h 59m
106,M,1931,8.3,173K,1h 57m
107,Vertigo,1958,8.3,437K,2h 8m
108,Heat,1995,8.3,737K,2h 50m
109,Full Metal Jacket,1987,8.2,807K,1h 56m
110,Oppenheimer,2023,8.3,816K,3h
111,Up,2009,8.3,1.2M,1h 36m
112,Amélie,2001,8.3,807K,2h 2m
113,A Clockwork Orange,1971,8.2,897K,2h 16m
114,To Kill a Mockingbird,1962,8.3,338K,2h 9m
115,A Separation,2011,8.3,264K,2h 3m
116,The Sting,1973,8.3,285K,2h 9m
117,Die Hard,1988,8.2,964K,2h 12m
118,Like Stars on Earth,2007,8.3,212K,2h 42m
119,Indiana Jones and the Last Crusade,1989,8.2,825K,2h 7m
120,Metropolis,1927,8.3,190K,2h 33m
121,Snatch,2000,8.2,928K,1h 44m
122,1917,2019,8.2,703K,1h 59m
123,L,1997,8.2,631K,2h 18m
124,Bicycle Thieves,1948,8.3,180K,1h 29m
125,Downfall,2004,8.2,382K,2h 36m
126,Hamilton,2020,8.3,120K,2h 40m
127,Taxi Driver,1976,8.2,951K,1h 54m
128,Dangal,2016,8.3,218K,2h 41m
129,The Wolf of Wall Street,2013,8.2,1.6M,3h
130,Batman Begins,2005,8.2,1.6M,2h 20m
131,For a Few Dollars More,1965,8.2,281K,2h 12m
132,Green Book,2018,8.2,604K,2h 10m
133,Some Like It Hot,1959,8.2,289K,2h 1m
134,The Truman Show,1998,8.2,1.2M,1h 43m
135,Judgment at Nuremberg,1961,8.3,88K,2h 59m
136,The Kid,1921,8.2,138K,1h 8m
137,The Father,2020,8.2,203K,1h 37m
138,Shutter Island,2010,8.2,1.5M,2h 18m
139,All About Eve,1950,8.2,141K,2h 18m
140,There Will Be Blood,2007,8.2,655K,2h 38m
141,Jurassic Park,1993,8.2,1.1M,2h 7m
142,Casino,1995,8.2,578K,2h 58m
143,Top Gun: Maverick,2022,8.2,740K,2h 10m
144,The Sixth Sense,1999,8.2,1.1M,1h 47m
145,Ran,1985,8.2,140K,2h 40m
146,Pan's Labyrinth,2006,8.2,714K,1h 58m
147,No Country for Old Men,2007,8.2,1.1M,2h 2m
148,Unforgiven,1992,8.2,444K,2h 10m
149,The Thing,1982,8.2,484K,1h 49m
150,A Beautiful Mind,2001,8.2,1M,2h 15m
151,Kill Bill: Vol,2003,8.2,1.2M,1h 51m
152,The Wild Robot,2024,8.3,78K,1h 42m
153,The Treasure of the Sierra Madre,1948,8.2,135K,2h 6m
154,Yojimbo,1961,8.2,134K,1h 50m
155,Prisoners,2013,8.2,840K,2h 33m
156,The Great Escape,1963,8.2,263K,2h 52m
157,Finding Nemo,2003,8.2,1.1M,1h 40m
158,Monty Python and the Holy Grail,1975,8.2,579K,1h 31m
159,Howl's Moving Castle,2004,8.2,467K,1h 59m
160,The Elephant Man,1980,8.2,264K,2h 4m
161,Rashomon,1950,8.2,185K,1h 28m
162,Dial M for Murder,1954,8.2,193K,1h 45m
163,Gone with the Wind,1939,8.2,340K,3h 58m
164,Chinatown,1974,8.1,358K,2h 10m
165,The Secret in Their Eyes,2009,8.2,227K,2h 9m
166,"Lock, Stock and Two Smoking Barrels",1998,8.1,626K,1h 47m
167,Inside Out,2015,8.1,840K,1h 35m
168,V for Vendetta,2005,8.1,1.2M,2h 12m
169,"Three Billboards Outside Ebbing, Missouri",2017,8.1,568K,1h 55m
170,Raging Bull,1980,8.1,388K,2h 9m
171,Klaus,2019,8.2,197K,1h 36m
172,Trainspotting,1996,8.1,738K,1h 33m
173,The Bridge on the River Kwai,1957,8.1,237K,2h 41m
174,Catch Me If You Can,2002,8.1,1.1M,2h 21m
175,Fargo,1996,8.1,740K,1h 38m
176,Warrior,2011,8.1,506K,2h 20m
177,Spider-Man: No Way Home,2021,8.2,916K,2h 28m
178,Gran Torino,2008,8.1,827K,1h 56m
179,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,972K,2h 10m
180,Million Dollar Baby,2004,8.1,733K,2h 12m
181,My Neighbour Totoro,1988,8.1,394K,1h 26m
182,Mad Max: Fury Road,2015,8.1,1.1M,2h
183,Ben-Hur,1959,8.1,258K,3h 32m
184,Children of Heaven,1997,8.2,83K,1h 29m
185,Barry Lyndon,1975,8.1,188K,3h 5m
186,12 Years a Slave,2013,8.1,753K,2h 14m
187,Blade Runner,1982,8.1,839K,1h 57m
188,Before Sunrise,1995,8.1,349K,1h 41m
189,The Grand Budapest Hotel,2014,8.1,906K,1h 39m
190,Hacksaw Ridge,2016,8.1,616K,2h 19m
191,Dead Poets Society,1989,8.1,569K,2h 8m
192,Gone Girl,2014,8.1,1.1M,2h 29m
193,Memories of Murder,2003,8.1,228K,2h 11m
194,In the Name of the Father,1993,8.1,192K,2h 13m
195,The Gold Rush,1925,8.1,121K,1h 35m
196,Maharaja,2024,8.5,53K,2h 21m
197,"Monsters, Inc",2001,8.1,1M,1h 32m
198,Wild Tales,2014,8.1,222K,2h 2m
199,Ratatouille,2007,8.1,856K,1h 51m
200,The Deer Hunter,1978,8.1,369K,3h 3m
201,How to Train Your Dragon,2010,8.1,821K,1h 38m
202,Jaws,1975,8.1,679K,2h 4m
203,Sherlock Jr,1924,8.2,59K,45m
204,The General,1926,8.1,100K,1h 18m
205,Mary and Max,2009,8.1,191K,1h 32m
206,On the Waterfront,1954,8.1,168K,1h 48m
207,The Wages of Fear,1953,8.1,68K,2h 36m
208,Le Mans '66,2019,8.1,501K,2h 32m
209,Wild Strawberries,1957,8.1,117K,1h 32m
210,Mr,1939,8.1,123K,2h 9m
211,The Third Man,1949,8.1,186K,1h 44m
212,Logan,2017,8.1,868K,2h 17m
213,Rocky,1976,8.1,645K,2h
214,Tokyo Story,1953,8.1,71K,2h 16m
215,The Big Lebowski,1998,8.1,876K,1h 57m
216,The Seventh Seal,1957,8.1,203K,1h 36m
217,Room,2015,8.1,460K,1h 58m
218,Spotlight,2015,8.1,510K,2h 9m
219,The Terminator,1984,8.1,946K,1h 47m
220,Hotel Rwanda,2004,8.1,378K,2h 1m
221,Platoon,1986,8.1,447K,2h
222,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,1.2M,2h 23m
223,La haine,1995,8.1,204K,1h 38m
224,Jai Bhim,2021,8.7,222K,2h 44m
225,The Passion of Joan of Arc,1928,8.1,63K,1h 50m
226,Before Sunset,2004,8.1,295K,1h 20m
227,The Best Years of Our Lives,1946,8.1,72K,2h 50m
228,The Exorcist,1973,8.1,468K,2h 2m
229,A Man Escaped,1956,8.2,26K,1h 41m
230,Rush,2013,8.1,524K,2h 3m
231,The Incredibles,2004,8.0,833K,1h 55m
232,The Wizard of Oz,1939,8.1,437K,1h 42m
233,Network,1976,8.1,174K,2h 1m
234,Stand by Me,1986,8.1,453K,1h 29m
235,Hachi: A Dog's Tale,2009,8.1,320K,1h 33m
236,The Sound of Music,1965,8.1,268K,2h 52m
237,My Father and My Son,2005,8.2,95K,1h 52m
238,The Handmaiden,2016,8.1,180K,2h 25m
239,To Be or Not to Be,1942,8.1,45K,1h 39m
240,Into the Wild,2007,8.1,668K,2h 28m
241,The Battle of Algiers,1966,8.1,67K,2h 1m
242,The Iron Giant,1999,8.1,236K,1h 26m
243,The Grapes of Wrath,1940,8.1,102K,2h 9m
244,Groundhog Day,1993,8.0,700K,1h 41m
245,Amores perros,2000,8.0,257K,2h 34m
246,Rebecca,1940,8.1,150K,2h 10m
247,The Help,2011,8.1,503K,2h 26m
248,Cool Hand Luke,1967,8.0,192K,2h 7m
249,A Silent Voice,2016,8.1,109K,2h 10m
250,"Paris, Texas",1984,8.1,126K,2h 25m
