TITLE,SCORE
White Christmas,7.5
The Guns of Navarone,7.5
My Fair Lady,7.8
Bonnie and Clyde,7.7
Dirty Harry,7.7
The Exorcist,8.1
Monty Python and the Holy Grail,8.2
Taxi Driver,8.3
Life of Brian,8.0
The Blue Lagoon,5.8
Annie,6.6
Christine,6.7
Once Upon a Time in America,8.3
Stand by Me,8.1
Full Metal Jacket,8.3
When Harry Met Sally...,7.7
Awakenings,7.8
My Girl,6.9
A River Runs Through It,7.2
Menace II Society,7.5
Forrest Gump,8.8
Desperado,7.1
Happy Gilmore,7.0
Neon Genesis Evangelion: The End of Evangelion,8.0
Saving Private Ryan,8.6
"Girl, Interrupted",7.3
The Patriot,7.2
Lagaan: Once Upon a Time in India,8.1
Road to Perdition,7.7
Big Fish,8.0
Swades,8.1
Memoirs of a Geisha,7.3
Rang De Basanti,8.1
Like Stars on Earth,8.3
Ip Man,8.0
3 Idiots,8.4
Inception,8.8
Warrior,8.2
Django Unchained,8.4
Rush,8.1
Queen,8.2
Drishyam,8.2
Dangal,8.4
Bāhubali 2: The Conclusion,8.2
Andhadhun,8.2
Dave Chappelle: Sticks & Stones,8.4
David Attenborough: A Life on Our Planet,9.0
Bo Burnham: Inside,8.7
The Tinder Swindler,7.2
